Year,Austria,Canada,China,Denmark,Finland,France,Germany,India,Iran,Iraq
2016,2.001312495,0.987432609,1.922962377,1.145083985,1.360225793,2.261585198,1.181119893,2.474853138,2.974692385,3.634632462
2015,1.978861063,0.982111483,1.934922166,1.116516732,1.312474953,2.274223958,1.179472016,2.405128285,2.691357164,5.346370529
2014,1.799030152,0.992272056,1.915341129,1.149273281,1.3203617,2.232599137,1.184973759,2.496770211,2.230100075,2.950646564
2013,1.683437761,1.004857889,1.87233358,1.227252022,1.40259076,2.222426033,1.223993716,2.47272636,2.223894855,3.315679825
2012,1.697345585,1.121099973,1.838563815,1.351819154,1.403452573,2.238935776,1.311261447,2.537345812,2.735274003,1.899568366
2011,1.828150325,1.196083782,1.821927624,1.31353101,1.369946513,2.256658139,1.281112196,2.651497072,2.369733554,2.30344022
2010,1.950739417,1.197152932,1.896713106,1.398621479,1.371993586,2.334172804,1.35365069,2.792192787,2.761421435,2.70935228
2009,1.930507909,1.381043981,2.06742628,1.350178237,1.431262394,2.483010721,1.388906954,2.984045745,3.022264659,2.899117588
2008,1.884444384,1.248621382,1.878155871,1.355004524,1.274062908,2.257835008,1.281316605,2.629998794,2.68760127,2.367759824
2007,1.888747885,1.188901783,1.914649206,1.307247052,1.180701454,2.275462951,1.237053513,2.415943897,2.666873603,2.239928025